force,stroke
1025.748,0.08694792
1028.013,0.08711458
1030.596,0.08728125
1033.171,0.08744792
1035.77,0.08761458
1038.496,0.08778125
1041.237,0.08794791
1043.2,0.08811458
1045.609,0.08828125
1048.478,0.08844791
1051.307,0.08861458
1054.017,0.08878125
1056.568,0.08894791
1058.745,0.08911458
1061.416,0.08928125
1064.173,0.08944792
1066.629,0.08961459
1069.252,0.08978125
1072.009,0.08994792
1074.696,0.09011459
1076.523,0.09027083
1079.21,0.09044792
1081.729,0.09061458
1084.169,0.09078125
1087.038,0.09094792
1089.668,0.09111458
1091.79,0.09128125
1094.437,0.09144791
1096.892,0.09161458
1099.324,0.09178125
1101.923,0.09194791
1104.275,0.09211458
1107.224,0.09228125
1110.148,0.09244791
1113.065,0.09261458
1115.95,0.09278125
1118.271,0.09294792
1120.583,0.09311458
1122.729,0.09328125
1125.248,0.09344792
1128.022,0.09361459
1130.406,0.09378125
1133.14,0.09394792
1135.874,0.09411458
1138.536,0.09428125
1141.286,0.09444792
1143.877,0.09461458
1146.444,0.09478125
1149.066,0.09494792
1151.991,0.09511458
1154.534,0.09528125
1156.791,0.09544791
1159.485,0.09561458
1162.362,0.09578125
1164.897,0.0959375
1167.377,0.09610417
1169.856,0.09627083
1172.59,0.0964375
1175.284,0.09660417
1178.161,0.09677083
1180.553,0.0969375
1183.136,0.09710416
1186.164,0.09727083
1188.763,0.0974375
1191.394,0.09760416
1194.167,0.09777083
1196.655,0.09794792
1199.436,0.09811458
1202.011,0.09828125
1204.236,0.09844792
1206.7,0.09861458
1210.014,0.09878125
1212.931,0.09894791
1215.863,0.09911458
1218.184,0.09928125
1220.711,0.09944791
1223.214,0.09961458
1225.877,0.09978125
1228.873,0.09994791
1231.527,0.1001146
1234.611,0.1002812
1236.868,0.1004479
1239.173,0.1006146
1241.922,0.1007812
1244.545,0.1009479
1247.438,0.1011146
1250.561,0.1012812
1253.168,0.1014479
1255.504,0.1016146
1258.151,0.1017812
1261.131,0.1019479
1264.04,0.102125
1266.495,0.1022917
1269.412,0.1024583
1272.067,0.102625
1274.594,0.1027917
1277.51,0.1029583
1279.958,0.103125
1282.875,0.1032917
1285.672,0.1034583
1287.961,0.103625
1290.433,0.1037917
1293.198,0.1039583
1296.107,0.104125
1298.833,0.1042917
1301.392,0.1044583
1304.69,0.104625
1307.535,0.1047917
1310.031,0.1049583
1312.923,0.105125
1315.689,0.1052917
1318.502,0.1054583
1321.292,0.105625
1323.835,0.1057917
1326.188,0.1059583
1329.184,0.106125
1331.727,0.1062813
1334.278,0.1064479
1337.147,0.1066146
1339.563,0.1067813
1342.13,0.1069479
1344.832,0.1071146
1347.502,0.1072812
1350.18,0.1074479
1353.168,0.1076146
1356.006,0.1077812
1358.239,0.1079479
1360.552,0.1081146
1363.659,0.1082812
1366.409,0.1084479
1369.254,0.1086146
1371.996,0.1087812
1374.896,0.1089583
1377.718,0.109125
1380.412,0.1092917
1382.637,0.1094479
1385.283,0.1096146
1387.946,0.1097813
1390.751,0.1099479
1393.668,0.1101146
1396.155,0.1102813
1398.881,0.1104479
1401.559,0.1106146
1404.381,0.1107813
1407.003,0.1109479
1409.364,0.1111146
1411.923,0.1112812
1415.197,0.1114479
1417.971,0.1116146
1420.411,0.1117812
1422.954,0.1119479
1425.735,0.1121146
