Sample,,,
Time,Force,Stroke,Gauge
sec,N,mm,mm
3.04,537.4034,0.05011458,0.004430771
3.05,539.7241,0.05028125,0.004394531
3.06,541.5917,0.05044791,0.004394531
3.07,543.5864,0.05061458,0.004394531
3.08,546.2408,0.05078125,0.00453186
3.09,548.3707,0.05094792,0.004917145
3.1,550.6754,0.05111458,0.004917145
3.11,552.6622,0.05128125,0.005615234
3.12,555.0782,0.05144792,0.005615234
3.13,557.1525,0.05161458,0.00658989
3.14,558.7021,0.05178125,0.00658989
3.15,561.0704,0.05194792,0.007499695
3.16,563.8599,0.05211458,0.007499695
3.17,565.8547,0.05228125,0.007774353
3.18,567.5237,0.05244792,0.007774353
3.19,569.5184,0.05261458,0.007072449
3.2,571.6165,0.05278125,0.007072449
3.21,574.0325,0.05294792,0.007072449
3.22,576.4484,0.05311458,0.007072449
3.23,578.5624,0.05328125,0.004459381
3.24,580.8831,0.05344792,0.004459381
3.25,583.0685,0.05361458,0.004459381
3.26,584.8408,0.05378125,0.003873825
3.27,587.0024,0.05394791,0.003873825
3.28,589.4105,0.05410416,0.003915787
3.29,591.2781,0.05427083,0.003915787
3.3,593.2252,0.0544375,0.004201889
3.31,595.6094,0.05460417,0.004508972
3.32,597.5962,0.05477083,0.004508972
3.33,599.3207,0.0549375,0.005054474
3.34,601.8321,0.05510417,0.006227493
3.35,604.2242,0.05527083,0.006227493
3.36,605.9329,0.0554375,0.006227493
3.37,607.9276,0.05560417,0.008060455
3.38,610.2324,0.05577083,0.008060455
3.39,612.1794,0.0559375,0.01007843
3.4,614.0868,0.05610416,0.01007843
3.41,616.0815,0.05627083,0.01169777
3.42,618.1161,0.05644792,0.01169777
3.43,620.7307,0.05661458,0.01264
3.44,622.3202,0.05678125,0.01293755
3.45,624.1957,0.05694792,0.01293755
3.46,626.2382,0.05711458,0.01293755
3.47,628.4554,0.05728125,0.01216507
3.48,631.0463,0.05744792,0.01216507
3.49,632.9615,0.05761458,0.01216507
3.5,634.8848,0.05778125,0.01149178
3.51,636.7445,0.05794792,0.01149178
3.52,638.5883,0.05811458,0.01089096
3.53,640.9645,0.05828125,0.01046562
3.54,642.7129,0.05844792,0.01046562
3.55,644.8666,0.05861458,0.01022911
3.56,647.0998,0.05878125,0.01022911
3.57,649.0946,0.05894792,0.01014328
3.58,650.7397,0.05911458,0.01014328
3.59,652.8298,0.05928125,0.01015282
3.6,654.8484,0.05944791,0.01017761
